"","season","matchID","inn1EOIRuns","predO6EOIRuns","errO6Run","errO6Per","predO10EOIRuns","errO10Run","errO10Per","predO15EOIRuns","errO15Run","errO15Per","inn2EOIRuns","predO26EOIRuns","errO26Run","errO26Per","predO26TeamBatFirstWinMod","actualTeamBatFirstWin","correctPredWinModO26","predO26TeamBatFirstWinEOI","correctPredWinEOIO26","predO30EOIRuns","errO30Run","errO30Per","predO30TeamBatFirstWinMod","correctPredWinModO30","predO30TeamBatFirstWinEOI","correctPredWinEOIO30","predO30EOIRuns.1","errO35Run","errO35Per","predO35TeamBatFirstWinMod","correctPredWinModO35","predO35TeamBatFirstWinEOI","correctPredWinEOIO35"
"1130",2017,1082612,198,166.906175438198,-31.09,-15.7,165.798181681262,-32.2,-16.26,192.766752539737,-5.23,-2.64,199,188.332188031509,-10.67,-5.36,FALSE,FALSE,TRUE,TRUE,FALSE,200.162185659626,1.16,0.58,FALSE,TRUE,FALSE,TRUE,200.162185659626,16.52,8.3,FALSE,TRUE,FALSE,TRUE
"1131",2017,1082613,187,192.063263897069,5.06,2.71,198.080315508518,11.08,5.93,201.142472847658,14.14,7.56,188,188.137926565299,0.14,0.07,FALSE,FALSE,TRUE,FALSE,TRUE,178.253027501648,-9.75,-5.18,FALSE,TRUE,TRUE,FALSE,178.253027501648,-9.69,-5.15,TRUE,FALSE,TRUE,FALSE
"1132",2017,1082614,142,164.205052153809,22.21,15.64,145.101216851555,3.1,2.18,145.873213131543,3.87,2.73,128,102.878710427489,-25.12,-19.63,TRUE,TRUE,TRUE,TRUE,TRUE,106.242900808419,-21.76,-17,TRUE,TRUE,TRUE,TRUE,106.242900808419,-7.81,-6.1,TRUE,TRUE,TRUE,TRUE
"1133",2017,1082615,176,168.012493823973,-7.99,-4.54,155.61376465231,-20.39,-11.58,162.307020470169,-13.69,-7.78,179,163.328856695893,-15.67,-8.75,FALSE,FALSE,TRUE,TRUE,FALSE,167.860967364746,-11.14,-6.22,FALSE,TRUE,TRUE,FALSE,167.860967364746,-25.08,-14.01,TRUE,FALSE,TRUE,FALSE
"1134",2017,1082616,188,168.356115965174,-19.64,-10.45,179.769237792123,-8.23,-4.38,177.44621517453,-10.55,-5.61,162,161.673920006872,-0.33,-0.2,TRUE,TRUE,TRUE,TRUE,TRUE,162.133568786929,0.13,0.08,TRUE,TRUE,TRUE,TRUE,162.133568786929,-9.42,-5.82,TRUE,TRUE,TRUE,TRUE
"1135",2017,1082618,160,176.168953923581,16.17,10.11,179.422130403753,19.42,12.14,166.469205477558,6.47,4.04,157,151.031126504689,-5.97,-3.8,FALSE,TRUE,FALSE,TRUE,TRUE,137.545412295626,-19.45,-12.39,TRUE,TRUE,TRUE,TRUE,137.545412295626,-12.34,-7.86,FALSE,FALSE,TRUE,TRUE
"1136",2017,1082620,182,192.976385985454,10.98,6.03,185.217281089627,3.22,1.77,187.110382047067,5.11,2.81,184,156.689423328301,-27.31,-14.84,TRUE,FALSE,FALSE,TRUE,FALSE,180.748163112159,-3.25,-1.77,FALSE,TRUE,TRUE,FALSE,180.748163112159,12.77,6.94,FALSE,TRUE,FALSE,TRUE
"1137",2017,1082621,134,142.050355272802,8.05,6.01,135.049610622679,1.05,0.78,141.56404391345,7.56,5.64,135,125.456967492144,-9.54,-7.07,FALSE,FALSE,TRUE,TRUE,FALSE,130.200664351222,-4.8,-3.56,FALSE,TRUE,TRUE,FALSE,130.200664351222,12.77,6.94,FALSE,TRUE,FALSE,TRUE
"1138",2017,1082622,160,176.234272777371,16.23,10.15,174.945772410224,14.95,9.34,185.263874146549,25.26,15.79,161,148.075312970108,-12.92,-8.03,FALSE,FALSE,TRUE,TRUE,FALSE,169.744819167802,8.74,5.43,FALSE,TRUE,FALSE,TRUE,169.744819167802,11.69,7.26,FALSE,TRUE,FALSE,TRUE
"1139",2017,1082623,207,192.932687443629,-14.07,-6.8,204.027226682208,-2.97,-1.44,210.039037394323,3.04,1.47,181,166.536381351798,-14.46,-7.99,TRUE,TRUE,TRUE,TRUE,TRUE,159.679577160295,-21.32,-11.78,TRUE,TRUE,TRUE,TRUE,159.679577160295,-9.64,-5.33,TRUE,TRUE,TRUE,TRUE
