"","rowID","season","matchID","actualTeamBatFirstWin","predO0TeamBatFirstWinMod","predO20TeamBatFirstWinMod","predO26TeamBatFirstWinMod","predO30TeamBatFirstWinMod","predO35TeamBatFirstWinMod","predO26TeamBatFirstWinEOI","predO30TeamBatFirstWinEOI","predO35TeamBatFirstWinEOI","inn1EOIRuns","predO6EOIRuns","predO10EOIRuns","predO15EOIRuns","inn2EOIRuns","predO26EOIRuns","predO30EOIRuns","predO35EOIRuns","errO35Run","errO35Per","errO30Run","errO30Per","errO26Run","errO26Per","errO15Run","errO15Per","errO10Run","errO10Per","errO6Run","errO6Per","correctPredWinEOIO35","correctPredWinEOIO30","correctPredWinEOIO26","correctPredWinModO35","correctPredWinModO30","correctPredWinModO26","correctPredWinModO20","correctPredWinModO0"
"31",31,2015,829780,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,172,200,221,166,149,140,153,153,4,2.8,4,2.8,-9,-6.2,-6,-3.5,49,28.6,28,16.6,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"32",32,2015,829782,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,189,178,181,155,175,162,151,163,-12,-7,-24,-13.6,-13,-7.3,-34,-18.2,-8,-4.3,-11,-6.1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"33",33,2015,829784,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,148,157,165,125,124,126,134,128,4,3.1,10,7.9,2,1.3,-23,-15.3,17,11.7,9,6.1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"34",34,2015,829786,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,167,195,186,124,132,137,144,125,-7,-5.1,12,8.9,5,3.7,-43,-25.7,19,11.5,28,16.7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"35",35,2015,829788,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,152,169,157,121,153,124,130,141,-12,-8.1,-23,-15.3,-29,-18.6,-31,-20.5,5,3.6,17,11,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"36",36,2015,829790,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,226,212,225,210,88,171,158,141,-12,-8.1,70,80,83,94.3,-16,-6.9,-1,-0.5,-14,-6.3,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"37",37,2015,829792,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,201,191,195,159,194,165,170,174,-20,-10.4,-24,-12.2,-29,-14.9,-42,-20.9,-6,-3.2,-10,-5.2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"38",38,2015,829794,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,158,177,155,132,159,154,157,143,-16,-10,-2,-1.1,-5,-3.2,-26,-16.3,-3,-2,19,11.9,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"39",39,2015,829796,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,183,177,171,164,184,174,163,171,-13,-7,-21,-11.6,-10,-5.3,-19,-10.3,-12,-6.5,-6,-3.2,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
"40",40,2015,829798,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,163,163,165,123,157,158,152,144,-13,-8.1,-5,-3,1,0.4,-40,-24.5,2,1.2,0,-0.1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
