"","Season","Match_id","BatFirst","BatSecond","toss","winner","TeamBattingFirstWon","venueGround","venueCity","interactionCurrTeams","interactionVenueBatTeam","Inn1EOIOvers","Inn1EOIRuns","Inn1EOIWkts","Inn2EOIOvers","Inn2EOIRuns","Inn2EOIWkts","BatFirstWonLastMat","BatSecondWonLastMat","BatFirstWinsInLast3Mat","BatSecondWinsInLast3Mat","BatFirstWinsInLast5Mat","BatSecondWinsInLast5Mat","Over1Runs","Over1Wkts","Over2Runs","Over2Wkts","Over3Runs","Over3Wkts","Over4Runs","Over4Wkts","Over5Runs","Over5Wkts","Over6Runs","Over6Wkts","Over7Runs","Over7Wkts","Over8Runs","Over8Wkts","Over9Runs","Over9Wkts","Over10Runs","Over10Wkts","Over11Runs","Over11Wkts","Over12Runs","Over12Wkts","Over13Runs","Over13Wkts","Over14Runs","Over14Wkts","Over15Runs","Over15Wkts","Over16Runs","Over16Wkts","Over17Runs","Over17Wkts","Over18Runs","Over18Wkts","Over19Runs","Over19Wkts","Over20Runs","Over20Wkts","Over21Runs","Over21Wkts","Over22Runs","Over22Wkts","Over23Runs","Over23Wkts","Over24Runs","Over24Wkts","Over25Runs","Over25Wkts","Over26Runs","Over26Wkts","Over27Runs","Over27Wkts","Over28Runs","Over28Wkts","Over29Runs","Over29Wkts","Over30Runs","Over30Wkts","Over31Runs","Over31Wkts","Over32Runs","Over32Wkts","Over33Runs","Over33Wkts","Over34Runs","Over34Wkts","Over35Runs","Over35Wkts","Over36Runs","Over36Wkts","Over37Runs","Over37Wkts","Over38Runs","Over38Wkts","Over39Runs","Over39Wkts","Over40Runs","Over40Wkts"
"11",2018,7904,"Rajasthan Royals","Royal Challengers Bangalore","Royal Challengers Bangalore","Rajasthan Royals",TRUE,"M Chinnaswamy Stadium","Bengaluru",130,650,20,231,4,20,204,6,0,0,0,0,0,0,1,0,10,0,24,0,36,0,46,0,56,1,59,2,68,2,73,2,81,2,107,2,107,2,122,3,135,3,140,3,155,3,170,3,186,3,203,4,231,4,5,1,19,1,29,1,38,1,49,1,65,1,73,1,83,2,94,2,103,2,108,3,117,3,119,4,129,4,138,5,146,5,163,5,176,5,188,6,204,6
"12",2018,7905,"Kings XI Punjab","Chennai Super Kings","Chennai Super Kings","Kings XI Punjab",TRUE,"Punjab Cricket Association IS Bindra Stadium, Mohali","Mohali",5,120,20,198,7,20,206,5,0,0,0,0,0,0,10,0,15,0,20,0,39,0,53,0,76,0,93,0,97,1,103,1,116,1,130,1,130,2,137,2,150,2,155,4,161,5,166,5,181,5,194,6,198,7,14,0,22,1,36,1,44,1,51,2,58,2,63,3,74,3,89,3,93,3,102,3,109,3,116,3,122,4,131,4,142,4,155,4,174,4,193,5,206,5
"13",2018,7906,"Kolkata Knight Riders","Delhi Daredevils","Delhi Daredevils","Kolkata Knight Riders",TRUE,"Eden Gardens","Kolkata",21,483,20,206,9,14.33,136,9,0,0,0,0,0,0,0,0,7,0,12,1,19,1,32,1,50,1,60,1,64,2,71,2,85,2,103,3,103,3,109,3,124,4,146,4,158,4,178,4,189,5,205,6,206,9,4,0,17,1,27,2,42,2,51,2,62,2,76,2,88,2,97,3,106,4,121,5,125,7,132,7,135,8,136,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"14",2018,7907,"Mumbai Indians","Royal Challengers Bangalore","Royal Challengers Bangalore","Mumbai Indians",TRUE,"Wankhede Stadium","Mumbai",104,2600,20,230,6,20,173,7,0,0,0,0,0,0,4,2,16,2,22,2,46,2,67,2,71,2,74,2,87,2,96,2,106,2,125,2,125,3,130,3,140,3,155,3,165,4,179,4,190,4,206,5,230,6,9,0,22,0,29,0,42,0,46,2,57,2,62,2,68,2,74,2,80,3,89,3,92,4,99,4,109,5,113,5,126,5,139,5,142,7,161,7,173,7
"15",2018,7908,"Rajasthan Royals","Kolkata Knight Riders","Kolkata Knight Riders","Kolkata Knight Riders",FALSE,"Sawai Mansingh Stadium","Jaipur",70,1260,20,165,8,19,166,3,0,0,0,0,0,0,3,0,8,0,10,0,28,0,41,0,49,0,56,1,59,1,63,2,72,2,96,2,96,2,100,3,107,4,113,4,123,4,128,5,142,5,153,7,165,8,1,1,9,1,15,1,27,1,40,1,53,1,62,1,68,1,78,2,89,2,92,2,99,2,112,3,118,3,123,3,128,3,144,3,153,3,166,3,-1,-1
"16",2018,7909,"Kings XI Punjab","Sunrisers Hyderabad","Kings XI Punjab","Kings XI Punjab",TRUE,"Punjab Cricket Association IS Bindra Stadium, Mohali","Mohali",70,1680,20,201,3,20,191,5,0,0,0,0,0,0,2,0,12,0,17,0,29,0,42,0,53,0,55,0,57,1,74,1,88,1,106,2,106,2,110,2,137,2,149,2,157,2,171,2,182,3,188,3,201,3,3,1,19,2,23,2,30,2,39,3,42,3,56,3,61,3,72,3,76,3,81,3,87,3,101,3,116,3,125,4,138,4,142,5,158,5,173,5,191,5
"17",2018,7910,"Chennai Super Kings","Rajasthan Royals","Rajasthan Royals","Chennai Super Kings",TRUE,"Maharashtra Cricket Association Stadium","Pune",10,280,20,210,5,18.5,148,10,0,0,0,0,0,0,15,0,26,0,38,0,49,0,54,1,70,1,75,1,79,1,98,1,108,1,134,1,134,2,154,2,157,3,165,3,169,4,179,4,188,4,200,4,210,5,16,0,22,1,27,2,33,2,36,3,37,3,47,3,61,3,72,3,82,3,90,4,101,4,111,5,121,6,123,7,129,8,138,8,144,8,148,10,-1,-1
"18",2018,7911,"Kolkata Knight Riders","Kings XI Punjab","Kings XI Punjab","Kings XI Punjab",FALSE,"Eden Gardens","Kolkata",35,805,20,200,7,11.17,128,1,0,0,0,0,0,0,6,0,11,1,22,1,38,1,44,1,53,1,58,1,81,1,86,2,89,3,115,3,115,3,130,3,139,3,150,3,152,4,168,5,187,5,194,6,200,7,9,0,22,0,40,0,58,0,63,0,74,0,87,0,90,0,103,0,118,1,122,1,128,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"19",2018,7912,"Delhi Daredevils","Royal Challengers Bangalore","Royal Challengers Bangalore","Royal Challengers Bangalore",FALSE,"M Chinnaswamy Stadium","Bengaluru",39,195,20,186,5,18,180,4,0,0,0,0,0,0,1,0,8,0,9,1,14,1,25,1,31,2,35,2,42,2,56,2,61,2,76,2,76,2,88,2,102,3,108,3,122,4,135,4,152,4,174,4,186,5,5,0,10,1,16,1,25,1,38,2,44,2,58,2,67,2,74,2,84,2,94,3,99,3,117,3,128,3,143,3,152,4,167,4,180,4,-1,-1,-1,-1
"20",2018,7913,"Chennai Super Kings","Sunrisers Hyderabad","Sunrisers Hyderabad","Chennai Super Kings",TRUE,"Rajiv Gandhi International Stadium, Uppal","Hyderabad",14,224,20,186,3,20,180,6,0,0,0,0,0,0,2,0,5,0,9,0,16,1,22,1,28,1,34,1,39,2,44,2,57,2,81,2,81,2,90,2,110,2,124,2,141,2,150,3,161,3,175,3,186,3,0,1,10,1,11,2,23,2,29,3,41,3,44,3,52,3,61,3,72,3,74,4,79,4,85,4,97,4,119,4,133,4,143,4,152,5,166,6,180,6
